,County,Latitude,Longitude
111,"Trigg County, Kentucky",36.81764705,-87.90855844999999
112,"Trimble County, Kentucky",38.61481245,-85.31270185
113,"Union County, Kentucky",37.6857045,-87.94730150000001
114,"Warren County, Kentucky",36.9834004,-86.39398445
115,"Washington County, Kentucky",37.77398,-85.2009509
116,"Wayne County, Kentucky",36.80039839999999,-84.81824795
117,"Webster County, Kentucky",37.49912395,-87.6594884
118,"Whitley County, Kentucky",36.780336399999996,-84.11659845
119,"Wolfe County, Kentucky",37.74039995,-83.47544599999999
120,"Woodford County, Kentucky",38.0209925,-84.74591705
121,"Adams County, Ohio",38.825894950000006,-83.486434
122,"Allen County, Ohio",40.7817489,-84.13860399999999
123,"Ashland County, Ohio",40.810384549999995,-82.280963
124,"Ashtabula County, Ohio",41.9132295,-80.76449245
125,"Athens County, Ohio",39.368567,-82.010142
126,"Auglaize County, Ohio",40.52030685,-84.1680795
127,"Belmont County, Ohio",40.011337999999995,-80.970208
128,"Brown County, Ohio",38.947021050000004,-83.86287795
129,"Butler County, Ohio",39.44165745,-84.57574855
130,"Carroll County, Ohio",40.57693595,-81.09124059999999
131,"Champaign County, Ohio",40.1418234,-83.76528345
132,"Clark County, Ohio",39.90442485,-83.78294545
133,"Clermont County, Ohio",39.02059695,-84.15500355
134,"Clinton County, Ohio",39.3960069,-83.79153395
135,"Columbiana County, Ohio",40.75633995,-80.803145
136,"Coshocton County, Ohio",40.303628,-81.9059705
137,"Crawford County, Ohio",40.84974645,-82.9184644
138,"Cuyahoga County, Ohio",41.68572305000001,-81.6730169
139,"Darke County, Ohio",40.135369999999995,-84.61929054999999
140,"Defiance County, Ohio",41.2966239,-84.51576854999999
141,"Delaware County, Ohio",40.28492185,-82.9972784
142,"Erie County, Ohio",41.491806,-82.6476254
143,"Fairfield County, Ohio",39.74780355,-82.60450205
144,"Fayette County, Ohio",39.5471184,-83.46131539999999
145,"Franklin County, Ohio",39.96904145,-83.01135195
146,"Fulton County, Ohio",41.6028,-84.13845940000002
147,"Gallia County, Ohio",38.808931,-82.33907395
148,"Geauga County, Ohio",41.53122795,-81.19735095
149,"Greene County, Ohio",39.700355849999994,-83.8804025
150,"Guernsey County, Ohio",40.030785949999995,-81.47726745
151,"Hamilton County, Ohio",39.166827999999995,-84.5383479
152,"Hancock County, Ohio",40.9933355,-83.65073745
153,"Hardin County, Ohio",40.661969,-83.64785545
154,"Harrison County, Ohio",40.29649044999999,-81.1025344
155,"Henry County, Ohio",41.326719999999995,-84.11153005
156,"Highland County, Ohio",39.19881305,-83.6078616
157,"Hocking County, Ohio",39.51163495,-82.4538759
158,"Holmes County, Ohio",40.5561385,-81.9352924
159,"Huron County, Ohio",41.14146595,-82.58898554999999
160,"Jackson County, Ohio",39.02622235,-82.6158835
161,"Jefferson County, Ohio",40.3772575,-80.76828739999999
162,"Knox County, Ohio",40.4060914,-82.464908
163,"Lake County, Ohio",41.91038895,-81.248706
164,"Lawrence County, Ohio",38.6262479,-82.55164345
165,"Licking County, Ohio",40.095127950000006,-82.482659
166,"Logan County, Ohio",40.384038950000004,-83.76739955
167,"Lorain County, Ohio",41.4706909,-82.1125714
168,"Lucas County, Ohio",41.686772500000004,-83.43940305
169,"Madison County, Ohio",39.903462000000005,-83.42982950000001
170,"Mahoning County, Ohio",41.0169299,-80.80286695000001
171,"Marion County, Ohio",40.56940695,-83.13929300000001
172,"Medina County, Ohio",41.1327249,-81.92916149999999
173,"Meigs County, Ohio",39.0396815,-82.03302345
174,"Mercer County, Ohio",40.540013450000004,-84.6179354
175,"Miami County, Ohio",40.0399056,-84.2296134
176,"Monroe County, Ohio",39.7046785,-81.07020204999999
177,"Montgomery County, Ohio",39.7504814,-84.26834595
178,"Morgan County, Ohio",39.6100659,-81.8331779
179,"Morrow County, Ohio",40.528903,-82.822844
180,"Muskingum County, Ohio",39.961227,-81.9625389
181,"Noble County, Ohio",39.76847545,-81.4657554
182,"Ottawa County, Ohio",41.6430675,-83.016033
183,"Paulding County, Ohio",41.121377100000004,-84.57259145
184,"Perry County, Ohio",39.74029845,-82.24831055
185,"Pickaway County, Ohio",39.64028245,-82.99912745
186,"Pike County, Ohio",39.07282895,-83.08576395
187,"Portage County, Ohio",41.16802355,-81.19635645
188,"Preble County, Ohio",39.74254535,-84.6469805
189,"Putnam County, Ohio",41.013461449999994,-84.13995455
190,"Richland County, Ohio",40.772758499999995,-82.5320295
191,"Ross County, Ohio",39.34200835,-83.0673099
192,"Sandusky County, Ohio",41.377071900000004,-83.12996505
193,"Scioto County, Ohio",38.793278900000004,-82.96042779999999
194,"Seneca County, Ohio",41.124396000000004,-83.1254054
195,"Shelby County, Ohio",40.3335605,-84.218284
196,"Stark County, Ohio",40.8118525,-81.36832195
197,"Summit County, Ohio",41.12881445,-81.54001149999999
198,"Trumbull County, Ohio",41.3174394,-80.76077799999999
199,"Tuscarawas County, Ohio",40.44040645,-81.48851595
200,"Union County, Ohio",40.306987,-83.36061995
201,"Van Wert County, Ohio",40.837517899999995,-84.5716789
202,"Vinton County, Ohio",39.2117205,-82.51156745
203,"Warren County, Ohio",39.42235545,-84.1711209
204,"Washington County, Ohio",39.430940449999994,-81.44522945
205,"Wayne County, Ohio",40.8287285,-81.88844904999999
206,"Williams County, Ohio",41.56591845,-84.5739365
207,"Wood County, Ohio",41.3923445,-83.64912749999999
208,"Wyandot County, Ohio",40.84015355,-83.31365184999999
209,"Adams County, Pennsylvania",39.89487890000001,-77.21300844999999
210,"Allegheny County, Pennsylvania",40.434436399999996,-80.02481695
211,"Armstrong County, Pennsylvania",40.847805,-79.45157534999998
212,"Beaver County, Pennsylvania",40.66622155,-80.33203954999999
213,"Bedford County, Pennsylvania",40.0247489,-78.47164655
214,"Berks County, Pennsylvania",40.40732295,-75.984902
215,"Blair County, Pennsylvania",40.4936205,-78.36829545
216,"Bradford County, Pennsylvania",41.7721004,-76.52126645
217,"Bucks County, Pennsylvania",40.32858745,-75.1027879
218,"Butler County, Pennsylvania",40.9211449,-79.927579
219,"Cambria County, Pennsylvania",40.4844875,-78.702225
220,"Cameron County, Pennsylvania",41.41756595,-78.2049275
221,"Carbon County, Pennsylvania",40.934763000000004,-75.73577055
222,"Centre County, Pennsylvania",40.972155099999995,-77.76023895
223,"Chester County, Pennsylvania",39.983135950000005,-75.7488425
224,"Clarion County, Pennsylvania",41.202284899999995,-79.45397145
225,"Clearfield County, Pennsylvania",40.98911784999999,-78.42240045
226,"Clinton County, Pennsylvania",41.22075695,-77.6185464
227,"Columbia County, Pennsylvania",41.042106450000006,-76.424297
228,"Crawford County, Pennsylvania",41.666,-80.0657735
229,"Cumberland County, Pennsylvania",40.136280400000004,-77.2432095
230,"Dauphin County, Pennsylvania",40.38983244999999,-76.78237745
231,"Delaware County, Pennsylvania",39.934057949999996,-75.40650155
232,"Elk County, Pennsylvania",41.41587855,-78.66505685
233,"Erie County, Pennsylvania",42.18275,-80.0649155
234,"Fayette County, Pennsylvania",39.932081499999995,-79.65217050000001
235,"Forest County, Pennsylvania",41.47592305,-79.23910144999999
236,"Franklin County, Pennsylvania",40.00488505,-77.776756
237,"Fulton County, Pennsylvania",39.9436226,-78.12253835
238,"Greene County, Pennsylvania",39.87063089999999,-80.21133789999999
239,"Huntingdon County, Pennsylvania",40.40254995,-77.96697745
240,"Indiana County, Pennsylvania",40.640031449999995,-79.129445
241,"Jefferson County, Pennsylvania",41.14126795,-78.9628826
242,"Juniata County, Pennsylvania",40.47871645,-77.3456194
243,"Lackawanna County, Pennsylvania",41.4018815,-75.63754205
244,"Lancaster County, Pennsylvania",40.01841295,-76.29769705
245,"Lawrence County, Pennsylvania",40.989661999999996,-80.30837795
246,"Lebanon County, Pennsylvania",40.375404,-76.4147574
247,"Lehigh County, Pennsylvania",40.60291905,-75.61269804999999
248,"Luzerne County, Pennsylvania",41.16461595,-75.96015655
249,"Lycoming County, Pennsylvania",41.33278795,-77.023601
250,"McKean County, Pennsylvania",41.80107795,-78.5797389
251,"Mercer County, Pennsylvania",41.28107,-80.25956049999999
252,"Mifflin County, Pennsylvania",40.60373935,-77.60097189999999
253,"Monroe County, Pennsylvania",41.03375545,-75.3079805
254,"Montgomery County, Pennsylvania",40.212018449999995,-75.3559239
255,"Montour County, Pennsylvania",41.027277500000004,-76.65333355
256,"Northampton County, Pennsylvania",40.75255105000001,-75.3299119
257,"Northumberland County, Pennsylvania",40.889632,-76.66468649999999
258,"Perry County, Pennsylvania",40.407095,-77.2933654
259,"Philadelphia County, Pennsylvania",40.002498,-75.11803295
260,"Pike County, Pennsylvania",41.340935,-75.02413335
261,"Potter County, Pennsylvania",41.737626,-77.9023665
262,"Schuylkill County, Pennsylvania",40.72258695,-76.2296535
263,"Snyder County, Pennsylvania",40.76266604999999,-77.07767095
264,"Somerset County, Pennsylvania",40.003476,-79.03798345
265,"Sullivan County, Pennsylvania",41.43290145,-76.51688745
266,"Susquehanna County, Pennsylvania",41.82034695,-75.80463005
267,"Tioga County, Pennsylvania",41.77197045,-77.24232495
268,"Union County, Pennsylvania",40.97806745,-77.08221094999999
269,"Venango County, Pennsylvania",41.39810545,-79.73881745
270,"Warren County, Pennsylvania",41.811683,-79.26432205
271,"Washington County, Pennsylvania",40.21493445,-80.17913949999999
272,"Wayne County, Pennsylvania",41.615992950000006,-75.2745845
273,"Westmoreland County, Pennsylvania",40.36022295,-79.43980145
